season,week_ending,age_category,data_type,estimate
2018-19,2018-10-06,75-84 yr,Weekly Rate,0.3
2018-19,2018-10-06,Adults,Cumulative Rate,0.0
2018-19,2018-10-06,12-17 yr,Cumulative Rate,0.0
2018-19,2018-10-06,Overall,Cumulative Rate,0.0
2018-19,2018-10-06,65+ yr,Weekly Rate,0.2
2018-19,2018-10-06,18-49 yr,Weekly Rate,0.1
2018-19,2018-10-06,65+ yr,Cumulative Rate,0.0
2018-19,2018-10-06,75+ yr,Weekly Rate,0.3
2018-19,2018-10-06,0-<1 yr,Weekly Rate,0.3
2018-19,2018-10-06,30-39 yr,Cumulative Rate,0.0
2018-19,2018-10-06,85+ yr,Cumulative Rate,0.0
2018-19,2018-10-06,18-49 yr,Cumulative Rate,0.0
2018-19,2018-10-06,50-64 yr,Weekly Rate,0.1
2018-19,2018-10-06,0-<1 yr,Cumulative Rate,0.0
2018-19,2018-10-06,5-11 yr,Cumulative Rate,0.0
2018-19,2018-10-06,0-4 yr,Cumulative Rate,0.0
2018-19,2018-10-06,65-74 yr,Cumulative Rate,0.0
2018-19,2018-10-06,1-4 yr,Cumulative Rate,0.0
2018-19,2018-10-06,50-64 yr,Cumulative Rate,0.0
2018-19,2018-10-06,Overall,Weekly Rate,0.1
2018-19,2018-10-06,40-49 yr,Cumulative Rate,0.0
2018-19,2018-10-06,85+ yr,Weekly Rate,0.2
2018-19,2018-10-06,Adults,Weekly Rate,0.1
2018-19,2018-10-06,Pediatrics,Cumulative Rate,0.0
2018-19,2018-10-06,18-29 yr,Cumulative Rate,0.0
2018-19,2018-10-06,5-11 yr,Weekly Rate,0.0
2018-19,2018-10-06,0-4 yr,Weekly Rate,0.1
2018-19,2018-10-06,Pediatrics,Weekly Rate,0.0
2018-19,2018-10-06,1-4 yr,Weekly Rate,0.1
2018-19,2018-10-06,75+ yr,Cumulative Rate,0.0
2018-19,2018-10-06,18-29 yr,Weekly Rate,0.0
2018-19,2018-10-06,5-17 yr,Weekly Rate,0.0
2018-19,2018-10-06,5-17 yr,Cumulative Rate,0.0
2018-19,2018-10-06,65-74 yr,Weekly Rate,0.2
2018-19,2018-10-06,75-84 yr,Cumulative Rate,0.0
2018-19,2018-10-06,30-39 yr,Weekly Rate,0.0
2018-19,2018-10-06,40-49 yr,Weekly Rate,0.1
2018-19,2018-10-06,12-17 yr,Weekly Rate,0.0
2018-19,2018-10-13,Adults,Cumulative Rate,0.0
2018-19,2018-10-13,75-84 yr,Cumulative Rate,1.0
2018-19,2018-10-13,40-49 yr,Cumulative Rate,0.0
2018-19,2018-10-13,5-17 yr,Cumulative Rate,0.0
2018-19,2018-10-13,85+ yr,Weekly Rate,0.4
2018-19,2018-10-13,Overall,Cumulative Rate,0.0
2018-19,2018-10-13,65-74 yr,Weekly Rate,0.2
2018-19,2018-10-13,0-4 yr,Cumulative Rate,0.0
2018-19,2018-10-13,65+ yr,Weekly Rate,0.3
2018-19,2018-10-13,1-4 yr,Weekly Rate,0.1
2018-19,2018-10-13,12-17 yr,Cumulative Rate,0.0
2018-19,2018-10-13,18-49 yr,Weekly Rate,0.1
2018-19,2018-10-13,0-4 yr,Weekly Rate,0.2
2018-19,2018-10-13,75+ yr,Weekly Rate,0.3
2018-19,2018-10-13,Adults,Weekly Rate,0.1
2018-19,2018-10-13,Pediatrics,Cumulative Rate,0.0
2018-19,2018-10-13,0-<1 yr,Weekly Rate,0.3
2018-19,2018-10-13,30-39 yr,Cumulative Rate,0.0
2018-19,2018-10-13,12-17 yr,Weekly Rate,0.0
2018-19,2018-10-13,85+ yr,Cumulative Rate,1.0
2018-19,2018-10-13,18-29 yr,Cumulative Rate,0.0
2018-19,2018-10-13,65+ yr,Cumulative Rate,1.0
2018-19,2018-10-13,50-64 yr,Weekly Rate,0.1
2018-19,2018-10-13,18-29 yr,Weekly Rate,0.1
2018-19,2018-10-13,18-49 yr,Cumulative Rate,0.0
2018-19,2018-10-13,5-11 yr,Weekly Rate,0.0
2018-19,2018-10-13,40-49 yr,Weekly Rate,0.1
2018-19,2018-10-13,0-<1 yr,Cumulative Rate,1.0
2018-19,2018-10-13,30-39 yr,Weekly Rate,0.0
2018-19,2018-10-13,Pediatrics,Weekly Rate,0.0
2018-19,2018-10-13,65-74 yr,Cumulative Rate,0.0
2018-19,2018-10-13,5-17 yr,Weekly Rate,0.0
2018-19,2018-10-13,5-11 yr,Cumulative Rate,0.0
2018-19,2018-10-13,75-84 yr,Weekly Rate,0.3
2018-19,2018-10-13,1-4 yr,Cumulative Rate,0.0
2018-19,2018-10-13,50-64 yr,Cumulative Rate,0.0
2018-19,2018-10-13,75+ yr,Cumulative Rate,1.0
2018-19,2018-10-13,Overall,Weekly Rate,0.1
2018-19,2018-10-20,0-4 yr,Cumulative Rate,0.0
